question,correct_answers,incorrect_answers,question_type
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C(s)+4RuO(s)\leftrightarrows{}4Ru(s)+2CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/2C%28s%29%2B4RuO%28s%29%5Cleftrightarrows%7B%7D4Ru%28s%29%2B2CO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2C(s)+4RuO(s)\leftrightarrows{}4Ru(s)+2CO_{2}(g)"" data-equation-content=""2C(s)+4RuO(s)\leftrightarrows{}4Ru(s)+2CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Zn(s)+CuSO_{4}(aq)\leftrightarrows{}Cu(s)+ZnSO_{4}(aq)"" src=""https://weber.instructure.com/equation_images/Zn%28s%29%2BCuSO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DCu%28s%29%2BZnSO_%7B4%7D%28aq%29?scale=1.5"" alt=""LaTeX: Zn(s)+CuSO_{4}(aq)\leftrightarrows{}Cu(s)+ZnSO_{4}(aq)"" data-equation-content=""Zn(s)+CuSO_{4}(aq)\leftrightarrows{}Cu(s)+ZnSO_{4}(aq)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C_{4}H_{10}(g)+12O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/2C_%7B4%7DH_%7B10%7D%28g%29%2B12O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D8CO_%7B2%7D%28g%29%2B10H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: 2C_{4}H_{10}(g)+12O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" data-equation-content=""2C_{4}H_{10}(g)+12O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""CH_{4}(g)+3O_{2}(g)\leftrightarrows{}CO_{2}(g)+2H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/CH_%7B4%7D%28g%29%2B3O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DCO_%7B2%7D%28g%29%2B2H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: CH_{4}(g)+3O_{2}(g)\leftrightarrows{}CO_{2}(g)+2H_{2}O(g)"" data-equation-content=""CH_{4}(g)+3O_{2}(g)\leftrightarrows{}CO_{2}(g)+2H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2AgNO_{3}(aq)+Cu(s)\leftrightarrows{}Cu(NO_{3})_{2}(aq)+3Ag(s)"" src=""https://weber.instructure.com/equation_images/2AgNO_%7B3%7D%28aq%29%2BCu%28s%29%5Cleftrightarrows%7B%7DCu%28NO_%7B3%7D%29_%7B2%7D%28aq%29%2B3Ag%28s%29?scale=1.5"" alt=""LaTeX: 2AgNO_{3}(aq)+Cu(s)\leftrightarrows{}Cu(NO_{3})_{2}(aq)+3Ag(s)"" data-equation-content=""2AgNO_{3}(aq)+Cu(s)\leftrightarrows{}Cu(NO_{3})_{2}(aq)+3Ag(s)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Mg(s)+O_{2}(g)\leftrightarrows{}3MgO(s)"" src=""https://weber.instructure.com/equation_images/2Mg%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D3MgO%28s%29?scale=1.5"" alt=""LaTeX: 2Mg(s)+O_{2}(g)\leftrightarrows{}3MgO(s)"" data-equation-content=""2Mg(s)+O_{2}(g)\leftrightarrows{}3MgO(s)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C_{4}H_{10}(g)+13O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/2C_%7B4%7DH_%7B10%7D%28g%29%2B13O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D8CO_%7B2%7D%28g%29%2B10H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: 2C_{4}H_{10}(g)+13O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" data-equation-content=""2C_{4}H_{10}(g)+13O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" src=""https://weber.instructure.com/equation_images/2Be%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2BeO%28s%29?scale=1.5"" alt=""LaTeX: 2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" data-equation-content=""2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Ca(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}Ca_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2Ca%28s%29%2B2H_%7B3%7DPO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DCa_%7B3%7D%28PO_%7B4%7D%29_%7B2%7D%28s%29%2B3H_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2Ca(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}Ca_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" data-equation-content=""2Ca(s)+2H_{3}PO_{4}(aq)\leftrightarrows{}Ca_{3}(PO_{4})_{2}(s)+3H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2HCl(aq)+Mg(s)\leftrightarrows{}MgCl_{2}(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2HCl%28aq%29%2BMg%28s%29%5Cleftrightarrows%7B%7DMgCl_%7B2%7D%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2HCl(aq)+Mg(s)\leftrightarrows{}MgCl_{2}(aq)+H_{2}(g)"" data-equation-content=""2HCl(aq)+Mg(s)\leftrightarrows{}MgCl_{2}(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2NaI(aq)+Cl_{2}(g)\leftrightarrows{}3NaCl(aq)+I_{2}(s)"" src=""https://weber.instructure.com/equation_images/2NaI%28aq%29%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D3NaCl%28aq%29%2BI_%7B2%7D%28s%29?scale=1.5"" alt=""LaTeX: 2NaI(aq)+Cl_{2}(g)\leftrightarrows{}3NaCl(aq)+I_{2}(s)"" data-equation-content=""2NaI(aq)+Cl_{2}(g)\leftrightarrows{}3NaCl(aq)+I_{2}(s)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" src=""https://weber.instructure.com/equation_images/3KI%28aq%29%2BCl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2KCl%28aq%29%2BI_%7B2%7D%28s%29?scale=1.5"" alt=""LaTeX: 3KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" data-equation-content=""3KI(aq)+Cl_{2}(g)\leftrightarrows{}2KCl(aq)+I_{2}(s)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Al(s)+3CuCl_{2}(aq)\leftrightarrows{}2AlCl_{3}(aq)+3Cu(s)"" src=""https://weber.instructure.com/equation_images/Al%28s%29%2B3CuCl_%7B2%7D%28aq%29%5Cleftrightarrows%7B%7D2AlCl_%7B3%7D%28aq%29%2B3Cu%28s%29?scale=1.5"" alt=""LaTeX: Al(s)+3CuCl_{2}(aq)\leftrightarrows{}2AlCl_{3}(aq)+3Cu(s)"" data-equation-content=""Al(s)+3CuCl_{2}(aq)\leftrightarrows{}2AlCl_{3}(aq)+3Cu(s)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3C_{2}H_{6}(g)+7O_{2}(g)\leftrightarrows{}4CO_{2}(g)+6H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/3C_%7B2%7DH_%7B6%7D%28g%29%2B7O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D4CO_%7B2%7D%28g%29%2B6H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: 3C_{2}H_{6}(g)+7O_{2}(g)\leftrightarrows{}4CO_{2}(g)+6H_{2}O(g)"" data-equation-content=""3C_{2}H_{6}(g)+7O_{2}(g)\leftrightarrows{}4CO_{2}(g)+6H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Fe_{2}O_{3}(s)+4CO(g)\leftrightarrows{}2Fe(s)+3CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/Fe_%7B2%7DO_%7B3%7D%28s%29%2B4CO%28g%29%5Cleftrightarrows%7B%7D2Fe%28s%29%2B3CO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Fe_{2}O_{3}(s)+4CO(g)\leftrightarrows{}2Fe(s)+3CO_{2}(g)"" data-equation-content=""Fe_{2}O_{3}(s)+4CO(g)\leftrightarrows{}2Fe(s)+3CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""N_{2}(g)+3H_{2}(g)\leftrightarrows{}3NH_{3}(g)"" src=""https://weber.instructure.com/equation_images/N_%7B2%7D%28g%29%2B3H_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D3NH_%7B3%7D%28g%29?scale=1.5"" alt=""LaTeX: N_{2}(g)+3H_{2}(g)\leftrightarrows{}3NH_{3}(g)"" data-equation-content=""N_{2}(g)+3H_{2}(g)\leftrightarrows{}3NH_{3}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2H_{2}S(g)+3O_{2}(g)\leftrightarrows{}2H_{2}O(g)+2SO_{2}(g)"" src=""https://weber.instructure.com/equation_images/2H_%7B2%7DS%28g%29%2B3O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2H_%7B2%7DO%28g%29%2B2SO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2H_{2}S(g)+3O_{2}(g)\leftrightarrows{}2H_{2}O(g)+2SO_{2}(g)"" data-equation-content=""2H_{2}S(g)+3O_{2}(g)\leftrightarrows{}2H_{2}O(g)+2SO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Th(NO_{3})_{4}(aq)+5NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+4NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/Th%28NO_%7B3%7D%29_%7B4%7D%28aq%29%2B5NaIO_%7B3%7D%28aq%29%5Cleftrightarrows%7B%7DTh%28IO_%7B3%7D%29_%7B4%7D%28s%29%2B4NaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: Th(NO_{3})_{4}(aq)+5NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+4NaNO_{3}(aq)"" data-equation-content=""Th(NO_{3})_{4}(aq)+5NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+4NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Ca(s)+2H_{2}O(l)\leftrightarrows{}Ca(OH)_{2}(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/Ca%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7DCa%28OH%29_%7B2%7D%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: Ca(s)+2H_{2}O(l)\leftrightarrows{}Ca(OH)_{2}(aq)+H_{2}(g)"" data-equation-content=""Ca(s)+2H_{2}O(l)\leftrightarrows{}Ca(OH)_{2}(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3H_{2}S(g)+3O_{2}(g)\leftrightarrows{}2H_{2}O(g)+2SO_{2}(g)"" src=""https://weber.instructure.com/equation_images/3H_%7B2%7DS%28g%29%2B3O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2H_%7B2%7DO%28g%29%2B2SO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 3H_{2}S(g)+3O_{2}(g)\leftrightarrows{}2H_{2}O(g)+2SO_{2}(g)"" data-equation-content=""3H_{2}S(g)+3O_{2}(g)\leftrightarrows{}2H_{2}O(g)+2SO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3KClO_{3}(s)\leftrightarrows{}2KCl(s)+3O_{2}(g)"" src=""https://weber.instructure.com/equation_images/3KClO_%7B3%7D%28s%29%5Cleftrightarrows%7B%7D2KCl%28s%29%2B3O_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 3KClO_{3}(s)\leftrightarrows{}2KCl(s)+3O_{2}(g)"" data-equation-content=""3KClO_{3}(s)\leftrightarrows{}2KCl(s)+3O_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Al(s)+3H_{2}SO_{4}(aq)\leftrightarrows{}Al_{2}(SO_{4})_{3}(aq)+3H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2Al%28s%29%2B3H_%7B2%7DSO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DAl_%7B2%7D%28SO_%7B4%7D%29_%7B3%7D%28aq%29%2B3H_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2Al(s)+3H_{2}SO_{4}(aq)\leftrightarrows{}Al_{2}(SO_{4})_{3}(aq)+3H_{2}(g)"" data-equation-content=""2Al(s)+3H_{2}SO_{4}(aq)\leftrightarrows{}Al_{2}(SO_{4})_{3}(aq)+3H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3Fe(s)+4H_{2}O(g)\leftrightarrows{}Fe_{3}O_{4}(s)+4H_{2}(g)"" src=""https://weber.instructure.com/equation_images/3Fe%28s%29%2B4H_%7B2%7DO%28g%29%5Cleftrightarrows%7B%7DFe_%7B3%7DO_%7B4%7D%28s%29%2B4H_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 3Fe(s)+4H_{2}O(g)\leftrightarrows{}Fe_{3}O_{4}(s)+4H_{2}(g)"" data-equation-content=""3Fe(s)+4H_{2}O(g)\leftrightarrows{}Fe_{3}O_{4}(s)+4H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2HCl(aq)+Sr(s)\leftrightarrows{}SrCl_{2}(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2HCl%28aq%29%2BSr%28s%29%5Cleftrightarrows%7B%7DSrCl_%7B2%7D%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2HCl(aq)+Sr(s)\leftrightarrows{}SrCl_{2}(aq)+H_{2}(g)"" data-equation-content=""2HCl(aq)+Sr(s)\leftrightarrows{}SrCl_{2}(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Li(s)+2H_{2}O(l)\leftrightarrows{}2LiOH(aq)+2H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2Li%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7D2LiOH%28aq%29%2B2H_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2Li(s)+2H_{2}O(l)\leftrightarrows{}2LiOH(aq)+2H_{2}(g)"" data-equation-content=""2Li(s)+2H_{2}O(l)\leftrightarrows{}2LiOH(aq)+2H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Th(NO_{3})_{4}(aq)+4NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+4NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/2Th%28NO_%7B3%7D%29_%7B4%7D%28aq%29%2B4NaIO_%7B3%7D%28aq%29%5Cleftrightarrows%7B%7DTh%28IO_%7B3%7D%29_%7B4%7D%28s%29%2B4NaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: 2Th(NO_{3})_{4}(aq)+4NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+4NaNO_{3}(aq)"" data-equation-content=""2Th(NO_{3})_{4}(aq)+4NaIO_{3}(aq)\leftrightarrows{}Th(IO_{3})_{4}(s)+4NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C_{4}H_{10}(g)+13O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/2C_%7B4%7DH_%7B10%7D%28g%29%2B13O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D8CO_%7B2%7D%28g%29%2B10H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: 2C_{4}H_{10}(g)+13O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" data-equation-content=""2C_{4}H_{10}(g)+13O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""P_{4}(s)+6Cl_{2}(g)\leftrightarrows{}4PCl_{3}(l)"" src=""https://weber.instructure.com/equation_images/P_%7B4%7D%28s%29%2B6Cl_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D4PCl_%7B3%7D%28l%29?scale=1.5"" alt=""LaTeX: P_{4}(s)+6Cl_{2}(g)\leftrightarrows{}4PCl_{3}(l)"" data-equation-content=""P_{4}(s)+6Cl_{2}(g)\leftrightarrows{}4PCl_{3}(l)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C_{4}H_{10}(g)+13O_{2}(g)\leftrightarrows{}8CO_{2}(g)+9H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/2C_%7B4%7DH_%7B10%7D%28g%29%2B13O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D8CO_%7B2%7D%28g%29%2B9H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: 2C_{4}H_{10}(g)+13O_{2}(g)\leftrightarrows{}8CO_{2}(g)+9H_{2}O(g)"" data-equation-content=""2C_{4}H_{10}(g)+13O_{2}(g)\leftrightarrows{}8CO_{2}(g)+9H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" src=""https://weber.instructure.com/equation_images/2Be%28s%29%2BO_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D2BeO%28s%29?scale=1.5"" alt=""LaTeX: 2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" data-equation-content=""2Be(s)+O_{2}(g)\leftrightarrows{}2BeO(s)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""S(s)+2O_{2}(g)\leftrightarrows{}SO_{2}(g)"" src=""https://weber.instructure.com/equation_images/S%28s%29%2B2O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7DSO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: S(s)+2O_{2}(g)\leftrightarrows{}SO_{2}(g)"" data-equation-content=""S(s)+2O_{2}(g)\leftrightarrows{}SO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2Rb(s)+2H_{2}O(l)\leftrightarrows{}2RbOH(aq)+H_{2}(g)"" src=""https://weber.instructure.com/equation_images/2Rb%28s%29%2B2H_%7B2%7DO%28l%29%5Cleftrightarrows%7B%7D2RbOH%28aq%29%2BH_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2Rb(s)+2H_{2}O(l)\leftrightarrows{}2RbOH(aq)+H_{2}(g)"" data-equation-content=""2Rb(s)+2H_{2}O(l)\leftrightarrows{}2RbOH(aq)+H_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Li(s)+S(s)\leftrightarrows{}Li_{2}S(s)"" src=""https://weber.instructure.com/equation_images/Li%28s%29%2BS%28s%29%5Cleftrightarrows%7B%7DLi_%7B2%7DS%28s%29?scale=1.5"" alt=""LaTeX: Li(s)+S(s)\leftrightarrows{}Li_{2}S(s)"" data-equation-content=""Li(s)+S(s)\leftrightarrows{}Li_{2}S(s)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C(s)+4FeO(s)\leftrightarrows{}4Fe(s)+2CO_{2}(g)"" src=""https://weber.instructure.com/equation_images/2C%28s%29%2B4FeO%28s%29%5Cleftrightarrows%7B%7D4Fe%28s%29%2B2CO_%7B2%7D%28g%29?scale=1.5"" alt=""LaTeX: 2C(s)+4FeO(s)\leftrightarrows{}4Fe(s)+2CO_{2}(g)"" data-equation-content=""2C(s)+4FeO(s)\leftrightarrows{}4Fe(s)+2CO_{2}(g)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2C_{4}H_{10}(g)+14O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" src=""https://weber.instructure.com/equation_images/2C_%7B4%7DH_%7B10%7D%28g%29%2B14O_%7B2%7D%28g%29%5Cleftrightarrows%7B%7D8CO_%7B2%7D%28g%29%2B10H_%7B2%7DO%28g%29?scale=1.5"" alt=""LaTeX: 2C_{4}H_{10}(g)+14O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" data-equation-content=""2C_{4}H_{10}(g)+14O_{2}(g)\leftrightarrows{}8CO_{2}(g)+10H_{2}O(g)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""Cr(NO_{3})_{3}(aq)+3NaIO_{3}(aq)\leftrightarrows{}Cr(IO_{3})_{3}(s)+4NaNO_{3}(aq)"" src=""https://weber.instructure.com/equation_images/Cr%28NO_%7B3%7D%29_%7B3%7D%28aq%29%2B3NaIO_%7B3%7D%28aq%29%5Cleftrightarrows%7B%7DCr%28IO_%7B3%7D%29_%7B3%7D%28s%29%2B4NaNO_%7B3%7D%28aq%29?scale=1.5"" alt=""LaTeX: Cr(NO_{3})_{3}(aq)+3NaIO_{3}(aq)\leftrightarrows{}Cr(IO_{3})_{3}(s)+4NaNO_{3}(aq)"" data-equation-content=""Cr(NO_{3})_{3}(aq)+3NaIO_{3}(aq)\leftrightarrows{}Cr(IO_{3})_{3}(s)+4NaNO_{3}(aq)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""2BaCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}BaSO_{4}(s)+2HCl(aq)"" src=""https://weber.instructure.com/equation_images/2BaCl_%7B2%7D%28aq%29%2BH_%7B2%7DSO_%7B4%7D%28aq%29%5Cleftrightarrows%7B%7DBaSO_%7B4%7D%28s%29%2B2HCl%28aq%29?scale=1.5"" alt=""LaTeX: 2BaCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}BaSO_{4}(s)+2HCl(aq)"" data-equation-content=""2BaCl_{2}(aq)+H_{2}SO_{4}(aq)\leftrightarrows{}BaSO_{4}(s)+2HCl(aq)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""3Cu(s)+8HNO_{3}(aq)\leftrightarrows{}3Cu(NO_{3})_{2}(aq)+2NO(g)+4H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/3Cu%28s%29%2B8HNO_%7B3%7D%28aq%29%5Cleftrightarrows%7B%7D3Cu%28NO_%7B3%7D%29_%7B2%7D%28aq%29%2B2NO%28g%29%2B4H_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: 3Cu(s)+8HNO_{3}(aq)\leftrightarrows{}3Cu(NO_{3})_{2}(aq)+2NO(g)+4H_{2}O(l)"" data-equation-content=""3Cu(s)+8HNO_{3}(aq)\leftrightarrows{}3Cu(NO_{3})_{2}(aq)+2NO(g)+4H_{2}O(l)"" data-ignore-a11y-check=""""></mattext>",Yes,No,multiple_choice
"Is this reaction balanced:<br><mattext texttype=""text/html""><img class=""equation_image"" title=""H_{2}SO_{4}(aq)+3KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+2H_{2}O(l)"" src=""https://weber.instructure.com/equation_images/H_%7B2%7DSO_%7B4%7D%28aq%29%2B3KOH%28aq%29%5Cleftrightarrows%7B%7DK_%7B2%7DSO_%7B4%7D%28aq%29%2B2H_%7B2%7DO%28l%29?scale=1.5"" alt=""LaTeX: H_{2}SO_{4}(aq)+3KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+2H_{2}O(l)"" data-equation-content=""H_{2}SO_{4}(aq)+3KOH(aq)\leftrightarrows{}K_{2}SO_{4}(aq)+2H_{2}O(l)"" data-ignore-a11y-check=""""></mattext>",No,Yes,multiple_choice
