question,correct_answers,question_type
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>993.8287 ± 450.40,1.0e3 ± 500;1.0e3±500;1.0e3 ± 5e2;1.0e3±5e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>965.4104 ± 4.55384,965 ± 5;965±5;9.65e2 ± 5e0;9.65e2±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>386.9584 ± 4.34666,387 ± 4;387±4;3.87e2 ± 4e0;3.87e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>274.7100 ± 108.15,270 ± 110;270±110;2.7e2 ± 1.1e2;2.7e2±1.1e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>348.5670 ± 0.70860,348.6 ± 0.7;348.6±0.7;3.486e2 ± 7e-1;3.486e2±7e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>223.14305 ± 54.0810,220 ± 50;220±50;2.2e2 ± 5e1;2.2e2±5e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>80.767794 ± 0.25184,80.8 ± 0.3;80.8±0.3;8.08e1 ± 3e-1;8.08e1±3e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>141.9610 ± 6.02920,142 ± 6;142±6;1.42e2 ± 6e0;1.42e2±6e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>51.96455 ± 0.248937,52.0 ± 0.2;52.0±0.2;5.20e1 ± 2e-1;5.20e1±2e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>967.8575 ± 83.1691,970 ± 80;970±80;9.7e2 ± 8e1;9.7e2±8e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>575.9189 ± 243.562,600 ± 200;600±200;6e2 ± 2e2;6e2±2e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>834.8787 ± 2.21479,835 ± 2;835±2;8.35e2 ± 2e0;8.35e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>72.14109 ± 0.0832358,72.14 ± 0.08;72.14±0.08;7.214e1 ± 8e-2;7.214e1±8e-2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>264.5454 ± 4.20560,265 ± 4;265±4;2.65e2 ± 4e0;2.65e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>790.0269 ± 34.3651,790 ± 30;790±30;7.9e2 ± 3e1;7.9e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>22.354460 ± 3.91259,22 ± 4;22±4;2.2e1 ± 4e0;2.2e1±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>740.12139 ± 129.87,740 ± 130;740±130;7.4e2 ± 1.3e2;7.4e2±1.3e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>262.3593 ± 16.9836,262 ± 17;262±17;2.62e2 ± 1.7e1;2.62e2±1.7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>788.4027 ± 1.7937,788.4 ± 1.8;788.4±1.8;7.884e2 ± 1.8e0;7.884e2±1.8e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>707.70716 ± 39.862,710 ± 40;710±40;7.1e2 ± 4e1;7.1e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>134.4604 ± 26.953,130 ± 30;130±30;1.3e2 ± 3e1;1.3e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>262.9177 ± 2.57049,263 ± 3;263±3;2.63e2 ± 3e0;2.63e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>654.08198 ± 4.59882,654 ± 5;654±5;6.54e2 ± 5e0;6.54e2±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>271.67303 ± 87.3818,270 ± 90;270±90;2.7e2 ± 9e1;2.7e2±9e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>519.57007 ± 40.6480,520 ± 40;520±40;5.2e2 ± 4e1;5.2e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>609.24564 ± 157.28,610 ± 160;610±160;6.1e2 ± 1.6e2;6.1e2±1.6e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>275.6056 ± 18.162,276 ± 18;276±18;2.76e2 ± 1.8e1;2.76e2±1.8e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>59.494516 ± 0.070943,59.49 ± 0.07;59.49±0.07;5.949e1 ± 7e-2;5.949e1±7e-2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>650.84437 ± 18.5748,651 ± 19;651±19;6.51e2 ± 1.9e1;6.51e2±1.9e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>263.9437 ± 5.13134,264 ± 5;264±5;2.64e2 ± 5e0;2.64e2±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>4.9858442 ± 0.014354,4.986 ± 0.014;4.986±0.014;4.986e0 ± 1.4e-2;4.986e0±1.4e-2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>931.64907 ± 163.52,930 ± 160;930±160;9.3e2 ± 1.6e2;9.3e2±1.6e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>399.0232 ± 71.777,4.0e2 ± 70;4.0e2±70;4.0e2 ± 7e1;4.0e2±7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>915.78042 ± 66.266,920 ± 70;920±70;9.2e2 ± 7e1;9.2e2±7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>627.9786 ± 194.63,630 ± 190;630±190;6.3e2 ± 1.9e2;6.3e2±1.9e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>660.3565 ± 0.712505,660.4 ± 0.7;660.4±0.7;6.604e2 ± 7e-1;6.604e2±7e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>511.4228 ± 88.029,510 ± 90;510±90;5.1e2 ± 9e1;5.1e2±9e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>551.3055 ± 225.257,600 ± 200;600±200;6e2 ± 2e2;6e2±2e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>102.0156 ± 0.33730,102.0 ± 0.3;102.0±0.3;1.020e2 ± 3e-1;1.020e2±3e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>366.2440 ± 2.3560,366 ± 2;366±2;3.66e2 ± 2e0;3.66e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>399.63715 ± 0.537533,399.6 ± 0.5;399.6±0.5;3.996e2 ± 5e-1;3.996e2±5e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>29.687651 ± 5.75732,30. ± 6;30.±6;3.0e1 ± 6e0;3.0e1±6e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>660.7738 ± 95.885,660 ± 1.0e2;660±1.0e2;6.6e2 ± 1.0e2;6.6e2±1.0e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>18.933688 ± 0.096155,18.93 ± 0.10;18.93±0.10;1.893e1 ± 1.0e-1;1.893e1±1.0e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>889.78048 ± 23.9229,890 ± 20;890±20;8.9e2 ± 2e1;8.9e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>535.0455 ± 35.1256,540 ± 40;540±40;5.4e2 ± 4e1;5.4e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>95.457414 ± 14.466,95 ± 14;95±14;9.5e1 ± 1.4e1;9.5e1±1.4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>341.58032 ± 31.675,340 ± 30;340±30;3.4e2 ± 3e1;3.4e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>202.54482 ± 36.144,2.0e2 ± 40;2.0e2±40;2.0e2 ± 4e1;2.0e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>913.43908 ± 19.5403,913 ± 20.;913±20.;9.13e2 ± 2.0e1;9.13e2±2.0e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>912.1286 ± 1.1738,912.1 ± 1.2;912.1±1.2;9.121e2 ± 1.2e0;9.121e2±1.2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>927.7039 ± 10.348,928 ± 10.;928±10.;9.28e2 ± 1.0e1;9.28e2±1.0e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>834.6822 ± 2.2361,835 ± 2;835±2;8.35e2 ± 2e0;8.35e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>854.0596 ± 2.1330,854 ± 2;854±2;8.54e2 ± 2e0;8.54e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>523.9524 ± 4.5027,524 ± 5;524±5;5.24e2 ± 5e0;5.24e2±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>47.247761 ± 2.49004,47 ± 2;47±2;4.7e1 ± 2e0;4.7e1±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>57.369137 ± 25.0568,60 ± 30;60±30;6e1 ± 3e1;6e1±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>347.4090 ± 103.167,350 ± 1.0e2;350±1.0e2;3.5e2 ± 1.0e2;3.5e2±1.0e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>73.67784 ± 0.11101,73.68 ± 0.11;73.68±0.11;7.368e1 ± 1.1e-1;7.368e1±1.1e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>817.5076 ± 206.110,800 ± 200;800±200;8e2 ± 2e2;8e2±2e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>321.3742 ± 4.3191,321 ± 4;321±4;3.21e2 ± 4e0;3.21e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>848.20929 ± 377.353,800 ± 400;800±400;8e2 ± 4e2;8e2±4e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>368.88109 ± 1.18169,368.9 ± 1.2;368.9±1.2;3.689e2 ± 1.2e0;3.689e2±1.2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>125.7867 ± 0.14099,125.79 ± 0.14;125.79±0.14;1.2579e2 ± 1.4e-1;1.2579e2±1.4e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>942.1454 ± 140.01,940 ± 140;940±140;9.4e2 ± 1.4e2;9.4e2±1.4e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>137.26506 ± 0.700626,137.3 ± 0.7;137.3±0.7;1.373e2 ± 7e-1;1.373e2±7e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>193.5080 ± 2.1759,194 ± 2;194±2;1.94e2 ± 2e0;1.94e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>764.0737 ± 109.103,760 ± 110;760±110;7.6e2 ± 1.1e2;7.6e2±1.1e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>987.63338 ± 2.3459,988 ± 2;988±2;9.88e2 ± 2e0;9.88e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>231.1469 ± 2.95204,231 ± 3;231±3;2.31e2 ± 3e0;2.31e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>354.99938 ± 1.2671,355.0 ± 1.3;355.0±1.3;3.550e2 ± 1.3e0;3.550e2±1.3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>10.50802 ± 0.018682,10.508 ± 0.019;10.508±0.019;1.0508e1 ± 1.9e-2;1.0508e1±1.9e-2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>240.08180 ± 1.89142,240.1 ± 1.9;240.1±1.9;2.401e2 ± 1.9e0;2.401e2±1.9e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>596.7633 ± 209.79,600 ± 200;600±200;6e2 ± 2e2;6e2±2e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>936.45460 ± 4.13978,936 ± 4;936±4;9.36e2 ± 4e0;9.36e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>333.3731 ± 130.261,330 ± 130;330±130;3.3e2 ± 1.3e2;3.3e2±1.3e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>27.562260 ± 9.23379,28 ± 9;28±9;2.8e1 ± 9e0;2.8e1±9e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>968.92818 ± 2.57228,969 ± 3;969±3;9.69e2 ± 3e0;9.69e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>141.20403 ± 18.1367,141 ± 18;141±18;1.41e2 ± 1.8e1;1.41e2±1.8e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>725.71138 ± 18.7025,726 ± 19;726±19;7.26e2 ± 1.9e1;7.26e2±1.9e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>109.6851 ± 12.7799,110. ± 13;110.±13;1.10e2 ± 1.3e1;1.10e2±1.3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>586.99739 ± 20.537,590 ± 20;590±20;5.9e2 ± 2e1;5.9e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>531.17315 ± 29.720,530 ± 30;530±30;5.3e2 ± 3e1;5.3e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>410.2930 ± 165.009,410 ± 170;410±170;4.1e2 ± 1.7e2;4.1e2±1.7e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>262.5686 ± 1.68423,262.6 ± 1.7;262.6±1.7;2.626e2 ± 1.7e0;2.626e2±1.7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>785.67323 ± 5.06911,786 ± 5;786±5;7.86e2 ± 5e0;7.86e2±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>797.1241 ± 23.1587,8.0e2 ± 20;8.0e2±20;8.0e2 ± 2e1;8.0e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>537.86315 ± 0.632916,537.9 ± 0.6;537.9±0.6;5.379e2 ± 6e-1;5.379e2±6e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>830.86982 ± 279.81,800 ± 300;800±300;8e2 ± 3e2;8e2±3e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>682.01137 ± 221.85,700 ± 200;700±200;7e2 ± 2e2;7e2±2e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>842.21577 ± 4.49128,842 ± 4;842±4;8.42e2 ± 4e0;8.42e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>353.49319 ± 1.98825,353.5 ± 2.0;353.5±2.0;3.535e2 ± 2.0e0;3.535e2±2.0e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>501.67656 ± 55.231,5.0e2 ± 60;5.0e2±60;5.0e2 ± 6e1;5.0e2±6e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>741.3687 ± 3.1682,741 ± 3;741±3;7.41e2 ± 3e0;7.41e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>471.3299 ± 0.58111,471.3 ± 0.6;471.3±0.6;4.713e2 ± 6e-1;4.713e2±6e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>195.36433 ± 9.4145,195 ± 9;195±9;1.95e2 ± 9e0;1.95e2±9e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>529.39659 ± 3.5133,529 ± 4;529±4;5.29e2 ± 4e0;5.29e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>892.58430 ± 2.42179,893 ± 2;893±2;8.93e2 ± 2e0;8.93e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>211.37649 ± 19.3907,211 ± 19;211±19;2.11e2 ± 1.9e1;2.11e2±1.9e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>873.1051 ± 22.635,870 ± 20;870±20;8.7e2 ± 2e1;8.7e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>982.26256 ± 2.87367,982 ± 3;982±3;9.82e2 ± 3e0;9.82e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>367.13157 ± 22.760,370 ± 20;370±20;3.7e2 ± 2e1;3.7e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>197.79144 ± 0.380243,197.8 ± 0.4;197.8±0.4;1.978e2 ± 4e-1;1.978e2±4e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>905.63909 ± 94.137,910 ± 90;910±90;9.1e2 ± 9e1;9.1e2±9e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>711.3952 ± 57.2352,710 ± 60;710±60;7.1e2 ± 6e1;7.1e2±6e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>815.6154 ± 74.3801,820 ± 70;820±70;8.2e2 ± 7e1;8.2e2±7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>50.12178 ± 0.0723485,50.12 ± 0.07;50.12±0.07;5.012e1 ± 7e-2;5.012e1±7e-2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>189.60948 ± 12.9823,190. ± 13;190.±13;1.90e2 ± 1.3e1;1.90e2±1.3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>497.63571 ± 109.96,5.0e2 ± 110;5.0e2±110;5.0e2 ± 1.1e2;5.0e2±1.1e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>259.20968 ± 27.7041,260 ± 30;260±30;2.6e2 ± 3e1;2.6e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>821.55823 ± 171.37,820 ± 170;820±170;8.2e2 ± 1.7e2;8.2e2±1.7e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>626.18374 ± 41.906,630 ± 40;630±40;6.3e2 ± 4e1;6.3e2±4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>9.2866462 ± 0.085225,9.29 ± 0.09;9.29±0.09;9.29e0 ± 9e-2;9.29e0±9e-2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>264.6122 ± 0.332841,264.6 ± 0.3;264.6±0.3;2.646e2 ± 3e-1;2.646e2±3e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>410.4471 ± 51.505,410 ± 50;410±50;4.1e2 ± 5e1;4.1e2±5e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>771.7476 ± 66.946,770 ± 70;770±70;7.7e2 ± 7e1;7.7e2±7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>14.238794 ± 0.133940,14.24 ± 0.13;14.24±0.13;1.424e1 ± 1.3e-1;1.424e1±1.3e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>230.2816 ± 2.16146,230. ± 2;230.±2;2.30e2 ± 2e0;2.30e2±2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>166.16497 ± 13.965,166 ± 14;166±14;1.66e2 ± 1.4e1;1.66e2±1.4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>269.5312 ± 0.48931,269.5 ± 0.5;269.5±0.5;2.695e2 ± 5e-1;2.695e2±5e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>221.7143 ± 3.16652,222 ± 3;222±3;2.22e2 ± 3e0;2.22e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>92.957108 ± 0.14195,92.96 ± 0.14;92.96±0.14;9.296e1 ± 1.4e-1;9.296e1±1.4e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>954.4283 ± 13.724,954 ± 14;954±14;9.54e2 ± 1.4e1;9.54e2±1.4e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>791.6850 ± 9.00012,792 ± 9;792±9;7.92e2 ± 9e0;7.92e2±9e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>364.78880 ± 1.7410,364.8 ± 1.7;364.8±1.7;3.648e2 ± 1.7e0;3.648e2±1.7e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>607.55495 ± 4.22393,608 ± 4;608±4;6.08e2 ± 4e0;6.08e2±4e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>721.2180 ± 184.435,720 ± 180;720±180;7.2e2 ± 1.8e2;7.2e2±1.8e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>113.9266 ± 0.15984,113.93 ± 0.16;113.93±0.16;1.1393e2 ± 1.6e-1;1.1393e2±1.6e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>550.5316 ± 0.773068,550.5 ± 0.8;550.5±0.8;5.505e2 ± 8e-1;5.505e2±8e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>16.12258 ± 4.7487,16 ± 5;16±5;1.6e1 ± 5e0;1.6e1±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>791.5632 ± 5.7201,792 ± 6;792±6;7.92e2 ± 6e0;7.92e2±6e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>817.0936 ± 66.888,820 ± 70;820±70;8.2e2 ± 7e1;8.2e2±7e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>989.6865 ± 1.23149,989.7 ± 1.2;989.7±1.2;9.897e2 ± 1.2e0;9.897e2±1.2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>255.43862 ± 31.975,260 ± 30;260±30;2.6e2 ± 3e1;2.6e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>749.40731 ± 2.53366,749 ± 3;749±3;7.49e2 ± 3e0;7.49e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>225.1987 ± 1.20536,225.2 ± 1.2;225.2±1.2;2.252e2 ± 1.2e0;2.252e2±1.2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>193.8641 ± 5.0159,194 ± 5;194±5;1.94e2 ± 5e0;1.94e2±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>227.9783 ± 23.4822,230 ± 20;230±20;2.3e2 ± 2e1;2.3e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>804.0015 ± 53.7814,8.0e2 ± 50;8.0e2±50;8.0e2 ± 5e1;8.0e2±5e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>381.63708 ± 2.5566,382 ± 3;382±3;3.82e2 ± 3e0;3.82e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>865.8166 ± 1.2223,865.8 ± 1.2;865.8±1.2;8.658e2 ± 1.2e0;8.658e2±1.2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>302.94137 ± 0.456323,302.9 ± 0.5;302.9±0.5;3.029e2 ± 5e-1;3.029e2±5e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>822.3483 ± 1.2242,822.3 ± 1.2;822.3±1.2;8.223e2 ± 1.2e0;8.223e2±1.2e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>442.3296 ± 0.868598,442.3 ± 0.9;442.3±0.9;4.423e2 ± 9e-1;4.423e2±9e-1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>949.04047 ± 1.9678,949.0 ± 2.0;949.0±2.0;9.490e2 ± 2.0e0;9.490e2±2.0e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>176.2962 ± 2.5610,176 ± 3;176±3;1.76e2 ± 3e0;1.76e2±3e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>386.36804 ± 5.3413,386 ± 5;386±5;3.86e2 ± 5e0;3.86e2±5e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>768.16650 ± 9.41323,768 ± 9;768±9;7.68e2 ± 9e0;7.68e2±9e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>697.1687 ± 1.1315,697.2 ± 1.1;697.2±1.1;6.972e2 ± 1.1e0;6.972e2±1.1e0,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>396.3971 ± 139.28,4.0e2 ± 140;4.0e2±140;4.0e2 ± 1.4e2;4.0e2±1.4e2,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>127.07569 ± 23.0058,130 ± 20;130±20;1.3e2 ± 2e1;1.3e2±2e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>675.1907 ± 34.463,680 ± 30;680±30;6.8e2 ± 3e1;6.8e2±3e1,short_answer
Give the following mean and standard deviation with the correct number of significant figures. Use the ± symbol: <br>341.73834 ± 32.9550,340 ± 30;340±30;3.4e2 ± 3e1;3.4e2±3e1,short_answer
