question,correct_answers,question_type
"Calculate the 99.9 % confidence interval for the following measurement.<br>3.7 ± 0.4 K, n = 10<br>Use the ± symbol in your answer.",3.7 ± 0.6;3.7±0.6;3.7e0 ± 6e-1;3.7e0±6e-1,short_answer
"Is the value -1 mmHg in the 95 % confidence interval for the following measurement?<br>1.8 ± 0.8 mmHg, n = 3",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 490 mol at the 90 % confidence level?<br>560 ± 90 mol, n = 10",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.012 Hz at the 50 % confidence level?<br>0.013 ± 0.005 Hz, n = 7",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>70 ± 30 cal, n = 2<br>Use the ± symbol in your answer.",0e0 ± 14000;0e0±14000;0e0 ± 1.4e4;0e0±1.4e4,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>2.7e3 ± 5e2 J, n = 4<br>Use the ± symbol in your answer.",2700 ± 200;2700±200;2.7e3 ± 2e2;2.7e3±2e2,short_answer
"Does the following measurement agree with the known value of 1e4 ms at the 99 % confidence level?<br>1.2e3 ± 4e2 ms, n = 2",Yes;yes;Y;y,short_answer
"Is the value 0.048 kcal in the 95 % confidence interval for the following measurement?<br>0.041 ± 0.006 kcal, n = 8",No;no;N;n,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.034 ± 0.011 Torr, n = 6<br>Use the ± symbol in your answer.",0.034 ± 0.012;0.034±0.012;3.4e-2 ± 1.2e-2;3.4e-2±1.2e-2,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.017 ± 0.007 bar, n = 120<br>Use the ± symbol in your answer.",0.017 ± 0.002;0.017±0.002;1.7e-2 ± 2e-3;1.7e-2±2e-3,short_answer
"Is the value 420 L in the 90 % confidence interval for the following measurement?<br>370 ± 1.0e2 L, n = 15",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>79 ± 13 Torr, n = 8<br>Use the ± symbol in your answer.",79 ± 3;79±3;7.9e1 ± 3e0;7.9e1±3e0,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.145 ± 0.004 mM, n = 5<br>Use the ± symbol in your answer.",0.14 ± 0.02;0.14±0.02;1.4e-1 ± 2e-2;1.4e-1±2e-2,short_answer
"Is the value 17.9 kV in the 95 % confidence interval for the following measurement?<br>18.5 ± 0.6 kV, n = 9",No;no;N;n,short_answer
"Does the following measurement agree with the known value of -10 M at the 95 % confidence level?<br>20. ± 2 M, n = 2",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.034 A at the 99 % confidence level?<br>0.025 ± 0.005 A, n = 6",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.19 mol at the 99 % confidence level?<br>0.13 ± 0.06 mol, n = 8",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 2e5 A at the 99.9 % confidence level?<br>4.9e3 ± 4e2 A, n = 1",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 0.19 mmHg at the 50 % confidence level?<br>0.19 ± 0.06 mmHg, n = 120",Yes;yes;Y;y,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>1.06 ± 0.07 Hz, n = 8<br>Use the ± symbol in your answer.",1.06 ± 0.02;1.06±0.02;1.06e0 ± 2e-2;1.06e0±2e-2,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>111 ± 4 s, n = 40<br>Use the ± symbol in your answer.",111.0 ± 1.3;111.0±1.3;1.110e2 ± 1.3e0;1.110e2±1.3e0,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>8 ± 3 kV, n = 9<br>Use the ± symbol in your answer.",8 ± 2;8±2;8e0 ± 2e0;8e0±2e0,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.04 ± 0.02 bar, n = 25<br>Use the ± symbol in your answer.",0.04 ± 0.02;0.04±0.02;4e-2 ± 2e-2;4e-2±2e-2,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.21 ± 0.03 mM, n = 25<br>Use the ± symbol in your answer.",0.210 ± 0.012;0.210±0.012;2.10e-1 ± 1.2e-2;2.10e-1±1.2e-2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>16.1 ± 0.2 J, n = 8<br>Use the ± symbol in your answer.",16.1 ± 0.2;16.1±0.2;1.61e1 ± 2e-1;1.61e1±2e-1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>4.1e3 ± 9e2 ns, n = 4<br>Use the ± symbol in your answer.",4100 ± 1100;4100±1100;4.1e3 ± 1.1e3;4.1e3±1.1e3,short_answer
"Does the following measurement agree with the known value of 10.1 W at the 99 % confidence level?<br>9.9 ± 0.5 W, n = 40",No;no;N;n,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>26 ± 11 s, n = 25<br>Use the ± symbol in your answer.",26 ± 5;26±5;2.6e1 ± 5e0;2.6e1±5e0,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>130 ± 30 km, n = 1<br>Use the ± symbol in your answer.",100 ± 400;100±400;1e2 ± 4e2;1e2±4e2,short_answer
"Does the following measurement agree with the known value of 150 mA at the 50 % confidence level?<br>170 ± 70 mA, n = 10",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>2.34 ± 0.09 Hz, n = 120<br>Use the ± symbol in your answer.",2.340 ± 0.014;2.340±0.014;2.340e0 ± 1.4e-2;2.340e0±1.4e-2,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.17 ± 0.08 kJ, n = 60<br>Use the ± symbol in your answer.",0.17 ± 0.02;0.17±0.02;1.7e-1 ± 2e-2;1.7e-1±2e-2,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>3 ± 2 h, n = 60<br>Use the ± symbol in your answer.",3.0 ± 0.4;3.0±0.4;3.0e0 ± 4e-1;3.0e0±4e-1,short_answer
"Does the following measurement agree with the known value of 2900 h at the 95 % confidence level?<br>3.6e3 ± 1.2e3 h, n = 20",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>229 ± 8 kg, n = 30<br>Use the ± symbol in your answer.",229.0 ± 1.0;229.0±1.0;2.290e2 ± 1.0e0;2.290e2±1.0e0,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.58 ± 0.09 cal, n = 7<br>Use the ± symbol in your answer.",0.58 ± 0.02;0.58±0.02;5.8e-1 ± 2e-2;5.8e-1±2e-2,short_answer
"Is the value 16 kcal in the 99 % confidence interval for the following measurement?<br>22 ± 5 kcal, n = 9",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>1.14e3 ± 9e1 yr, n = 8<br>Use the ± symbol in your answer.",1100 ± 200;1100±200;1.1e3 ± 2e2;1.1e3±2e2,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>420 ± 40 mM, n = 1<br>Use the ± symbol in your answer.",400 ± 300;400±300;4e2 ± 3e2;4e2±3e2,short_answer
"Does the following measurement agree with the known value of 5 h at the 99 % confidence level?<br>0.30 ± 0.09 h, n = 1",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>2.60e3 ± 6e1 mbar, n = 30<br>Use the ± symbol in your answer.",2.60e3 ± 40;2.60e3±40;2.60e3 ± 4e1;2.60e3±4e1,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.094 ± 0.008 K, n = 3<br>Use the ± symbol in your answer.",0.09 ± 0.02;0.09±0.02;9e-2 ± 2e-2;9e-2±2e-2,short_answer
"Does the following measurement agree with the known value of 0.14 L at the 90 % confidence level?<br>0.17 ± 0.02 L, n = 3",No;no;N;n,short_answer
"Is the value 0.034 Hz in the 50 % confidence interval for the following measurement?<br>0.033 ± 0.004 Hz, n = 2",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>680 ± 90 km, n = 60<br>Use the ± symbol in your answer.",680 ± 20;680±20;6.8e2 ± 2e1;6.8e2±2e1,short_answer
"Does the following measurement agree with the known value of -6 M at the 95 % confidence level?<br>1.5 ± 0.4 M, n = 1",No;no;N;n,short_answer
"Is the value 0.07 Torr in the 50 % confidence interval for the following measurement?<br>0.06 ± 0.02 Torr, n = 7",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.051 kJ at the 90 % confidence level?<br>0.048 ± 0.004 kJ, n = 8",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of -0.6 yr at the 90 % confidence level?<br>1.4 ± 0.3 yr, n = 2",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>160 ± 60 bar, n = 1<br>Use the ± symbol in your answer.",160 ± 60;160±60;1.6e2 ± 6e1;1.6e2±6e1,short_answer
"Does the following measurement agree with the known value of 0.27 mM at the 50 % confidence level?<br>0.26 ± 0.08 mM, n = 40",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>2.4e3 ± 1.2e3 yr, n = 15<br>Use the ± symbol in your answer.",2400 ± 200;2400±200;2.4e3 ± 2e2;2.4e3±2e2,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.15 ± 0.04 g, n = 30<br>Use the ± symbol in your answer.",0.15 ± 0.03;0.15±0.03;1.5e-1 ± 3e-2;1.5e-1±3e-2,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>2.1 ± 0.2 Pa, n = 1<br>Use the ± symbol in your answer.",0e0 ± 130;0e0±130;0e0 ± 1.3e2;0e0±1.3e2,short_answer
"Does the following measurement agree with the known value of 300 mM at the 99.9 % confidence level?<br>400 ± 200 mM, n = 25",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 2.0 L at the 90 % confidence level?<br>1.4 ± 0.4 L, n = 5",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>3.5 ± 0.8 yr, n = 40<br>Use the ± symbol in your answer.",3.50 ± 0.09;3.50±0.09;3.50e0 ± 9e-2;3.50e0±9e-2,short_answer
"Does the following measurement agree with the known value of 1.5 ns at the 50 % confidence level?<br>1.5 ± 0.3 ns, n = 60",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 19 mA at the 95 % confidence level?<br>17 ± 2 mA, n = 7",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>2.9 ± 0.5 mol, n = 4<br>Use the ± symbol in your answer.",3 ± 3;3±3;3e0 ± 3e0;3e0±3e0,short_answer
"Does the following measurement agree with the known value of 0.22 h at the 90 % confidence level?<br>0.25 ± 0.03 h, n = 6",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>510 ± 60 V, n = 2<br>Use the ± symbol in your answer.",510 ± 40;510±40;5.1e2 ± 4e1;5.1e2±4e1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>1.1e3 ± 4e2 mL, n = 8<br>Use the ± symbol in your answer.",1100 ± 300;1100±300;1.1e3 ± 3e2;1.1e3±3e2,short_answer
"Is the value -0.4 mol in the 99.9 % confidence interval for the following measurement?<br>0.7 ± 0.2 mol, n = 4",Yes;yes;Y;y,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>9 ± 2 K, n = 60<br>Use the ± symbol in your answer.",9.0 ± 0.2;9.0±0.2;9.0e0 ± 2e-1;9.0e0±2e-1,short_answer
"Does the following measurement agree with the known value of 7e4 Pa at the 99 % confidence level?<br>7e3 ± 2e3 Pa, n = 2",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>63 ± 11 mmHg, n = 20<br>Use the ± symbol in your answer.",63 ± 4;63±4;6.3e1 ± 4e0;6.3e1±4e0,short_answer
"Is the value -0.1 J in the 99.9 % confidence interval for the following measurement?<br>0.55 ± 0.07 J, n = 4",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 70 Pa at the 95 % confidence level?<br>60 ± 20 Pa, n = 15",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>1.5e3 ± 6e2 L, n = 1<br>Use the ± symbol in your answer.",0e0 ± 400000;0e0±400000;0e0 ± 4e5;0e0±4e5,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.083 ± 0.013 mmHg, n = 8<br>Use the ± symbol in your answer.",0.083 ± 0.003;0.083±0.003;8.3e-2 ± 3e-3;8.3e-2±3e-3,short_answer
"Is the value 45 mL in the 90 % confidence interval for the following measurement?<br>42 ± 11 mL, n = 20",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 780 s at the 90 % confidence level?<br>690 ± 140 s, n = 6",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 40 kV at the 99 % confidence level?<br>50 ± 20 kV, n = 60",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.068 ± 0.014 mmHg, n = 25<br>Use the ± symbol in your answer.",0.068 ± 0.005;0.068±0.005;6.8e-2 ± 5e-3;6.8e-2±5e-3,short_answer
"Does the following measurement agree with the known value of -6e5 kcal at the 99.9 % confidence level?<br>2.3e3 ± 1.1e3 kcal, n = 2",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>5e3 ± 2e3 Torr, n = 5<br>Use the ± symbol in your answer.",5000 ± 8000;5000±8000;5e3 ± 8e3;5e3±8e3,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>40. ± 5 Hz, n = 25<br>Use the ± symbol in your answer.",40. ± 2;40.±2;4.0e1 ± 2e0;4.0e1±2e0,short_answer
"Is the value 630 mM in the 95 % confidence interval for the following measurement?<br>650 ± 110 mM, n = 120",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 0.45 kcal at the 50 % confidence level?<br>0.46 ± 0.06 kcal, n = 9",Yes;yes;Y;y,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>600 ± 200 L, n = 40<br>Use the ± symbol in your answer.",6.0e2 ± 50;6.0e2±50;6.0e2 ± 5e1;6.0e2±5e1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>1.9e3 ± 3e2 s, n = 2<br>Use the ± symbol in your answer.",1900 ± 200;1900±200;1.9e3 ± 2e2;1.9e3±2e2,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.014 ± 0.007 kJ, n = 30<br>Use the ± symbol in your answer.",0.014 ± 0.002;0.014±0.002;1.4e-2 ± 2e-3;1.4e-2±2e-3,short_answer
"Does the following measurement agree with the known value of 1.6e5 W at the 99 % confidence level?<br>4e3 ± 2e3 W, n = 1",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.10 ± 0.02 h, n = 7<br>Use the ± symbol in your answer.",0.10 ± 0.02;0.10±0.02;1.0e-1 ± 2e-2;1.0e-1±2e-2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.016 ± 0.005 m, n = 60<br>Use the ± symbol in your answer.",0.016 ± 0.002;0.016±0.002;1.6e-2 ± 2e-3;1.6e-2±2e-3,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>740 ± 80 Pa, n = 25<br>Use the ± symbol in your answer.",740 ± 40;740±40;7.4e2 ± 4e1;7.4e2±4e1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>110 ± 40 N, n = 20<br>Use the ± symbol in your answer.",110 ± 20;110±20;1.1e2 ± 2e1;1.1e2±2e1,short_answer
"Does the following measurement agree with the known value of 4.0 s at the 95 % confidence level?<br>4.3 ± 1.0 s, n = 60",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>5 ± 2 N, n = 7<br>Use the ± symbol in your answer.",5 ± 2;5±2;5e0 ± 2e0;5e0±2e0,short_answer
"Does the following measurement agree with the known value of 200 N at the 99.9 % confidence level?<br>270 ± 130 N, n = 25",Yes;yes;Y;y,short_answer
"Is the value 12.0 N in the 90 % confidence interval for the following measurement?<br>12.1 ± 0.9 N, n = 120",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>0.58 ± 0.06 m, n = 7<br>Use the ± symbol in your answer.",0.58 ± 0.14;0.58±0.14;5.8e-1 ± 1.4e-1;5.8e-1±1.4e-1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>150 ± 30 K, n = 25<br>Use the ± symbol in your answer.",150. ± 10.;150.±10.;1.50e2 ± 1.0e1;1.50e2±1.0e1,short_answer
"Does the following measurement agree with the known value of 1.4 mL at the 95 % confidence level?<br>0.45 ± 0.14 mL, n = 1",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.21 ± 0.03 mmHg, n = 30<br>Use the ± symbol in your answer.",0.21 ± 0.02;0.21±0.02;2.1e-1 ± 2e-2;2.1e-1±2e-2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>3.2 ± 0.6 cal, n = 20<br>Use the ± symbol in your answer.",3.2 ± 0.4;3.2±0.4;3.2e0 ± 4e-1;3.2e0±4e-1,short_answer
"Does the following measurement agree with the known value of 6000 ns at the 50 % confidence level?<br>7e3 ± 3e3 ns, n = 4",Yes;yes;Y;y,short_answer
"Is the value 1500 nm in the 50 % confidence interval for the following measurement?<br>1.7e3 ± 3e2 nm, n = 3",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>30. ± 6 kJ, n = 2<br>Use the ± symbol in your answer.",0e0 ± 3000;0e0±3000;0e0 ± 3e3;0e0±3e3,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>18 ± 9 m, n = 8<br>Use the ± symbol in your answer.",18 ± 8;18±8;1.8e1 ± 8e0;1.8e1±8e0,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.09 ± 0.02 W, n = 15<br>Use the ± symbol in your answer.",0.090 ± 0.011;0.090±0.011;9.0e-2 ± 1.1e-2;9.0e-2±1.1e-2,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>1.20 ± 0.10 Torr, n = 7<br>Use the ± symbol in your answer.",1.2 ± 0.2;1.2±0.2;1.2e0 ± 2e-1;1.2e0±2e-1,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>4 ± 2 N, n = 1<br>Use the ± symbol in your answer.",0e0 ± 130;0e0±130;0e0 ± 1.3e2;0e0±1.3e2,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>7 ± 3 L, n = 2<br>Use the ± symbol in your answer.",10 ± 30;10±30;1e1 ± 3e1;1e1±3e1,short_answer
"Does the following measurement agree with the known value of 1.6 m at the 90 % confidence level?<br>1.7 ± 0.4 m, n = 40",Yes;yes;Y;y,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.15 ± 0.04 mbar, n = 120<br>Use the ± symbol in your answer.",0.150 ± 0.007;0.150±0.007;1.50e-1 ± 7e-3;1.50e-1±7e-3,short_answer
"Does the following measurement agree with the known value of 24 mmHg at the 90 % confidence level?<br>28 ± 11 mmHg, n = 8",Yes;yes;Y;y,short_answer
"Is the value 40 mL in the 99.9 % confidence interval for the following measurement?<br>1.0e2 ± 50 mL, n = 10",Yes;yes;Y;y,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>3.4 ± 0.3 L, n = 5<br>Use the ± symbol in your answer.",3.40 ± 0.10;3.40±0.10;3.40e0 ± 1.0e-1;3.40e0±1.0e-1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.13 ± 0.02 yr, n = 3<br>Use the ± symbol in your answer.",0.130 ± 0.009;0.130±0.009;1.30e-1 ± 9e-3;1.30e-1±9e-3,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>19.6 ± 0.5 km, n = 20<br>Use the ± symbol in your answer.",19.60 ± 0.08;19.60±0.08;1.960e1 ± 8e-2;1.960e1±8e-2,short_answer
"Is the value 900 L in the 99 % confidence interval for the following measurement?<br>540 ± 130 L, n = 5",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>5.0e2 ± 80 Hz, n = 8<br>Use the ± symbol in your answer.",500 ± 200;500±200;5e2 ± 2e2;5e2±2e2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>1.53e3 ± 2e1 A, n = 7<br>Use the ± symbol in your answer.",1530 ± 30;1530±30;1.53e3 ± 3e1;1.53e3±3e1,short_answer
"Is the value 4.5 kJ in the 95 % confidence interval for the following measurement?<br>4.1 ± 1.4 kJ, n = 25",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.05 ± 0.02 Pa, n = 40<br>Use the ± symbol in your answer.",0.050 ± 0.009;0.050±0.009;5.0e-2 ± 9e-3;5.0e-2±9e-3,short_answer
"Does the following measurement agree with the known value of 0.0170 Pa at the 99.9 % confidence level?<br>0.0161 ± 0.0008 Pa, n = 15",No;no;N;n,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>6e3 ± 2e3 Hz, n = 6<br>Use the ± symbol in your answer.",6000 ± 6000;6000±6000;6e3 ± 6e3;6e3±6e3,short_answer
"Is the value 1.0e3 mA in the 90 % confidence interval for the following measurement?<br>1.0e3 ± 500 mA, n = 120",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 1.0e2 ns at the 99 % confidence level?<br>2.5 ± 1.2 ns, n = 1",No;no;N;n,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>3.3 ± 1.4 kPa, n = 20<br>Use the ± symbol in your answer.",3.3 ± 0.5;3.3±0.5;3.3e0 ± 5e-1;3.3e0±5e-1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>7.9e3 ± 3e2 nm, n = 40<br>Use the ± symbol in your answer.",7.90e3 ± 80;7.90e3±80;7.90e3 ± 8e1;7.90e3±8e1,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.025 ± 0.003 kcal, n = 25<br>Use the ± symbol in your answer.",0.0250 ± 0.0004;0.0250±0.0004;2.50e-2 ± 4e-4;2.50e-2±4e-4,short_answer
"Does the following measurement agree with the known value of 0.233 kV at the 95 % confidence level?<br>0.225 ± 0.007 kV, n = 6",No;no;N;n,short_answer
"Does the following measurement agree with the known value of 610 mM at the 95 % confidence level?<br>710 ± 90 mM, n = 5",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 0.23 kcal at the 99 % confidence level?<br>0.22 ± 0.04 kcal, n = 25",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.017 ± 0.008 kV, n = 8<br>Use the ± symbol in your answer.",0.017 ± 0.010;0.017±0.010;1.7e-2 ± 1.0e-2;1.7e-2±1.0e-2,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.29 ± 0.14 m, n = 40<br>Use the ± symbol in your answer.",0.29 ± 0.02;0.29±0.02;2.9e-1 ± 2e-2;2.9e-1±2e-2,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>75 ± 9 L, n = 10<br>Use the ± symbol in your answer.",75 ± 14;75±14;7.5e1 ± 1.4e1;7.5e1±1.4e1,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>6 ± 2 yr, n = 2<br>Use the ± symbol in your answer.",10 ± 90;10±90;1e1 ± 9e1;1e1±9e1,short_answer
"Is the value 0.117 mmHg in the 99.9 % confidence interval for the following measurement?<br>0.113 ± 0.008 mmHg, n = 20",Yes;yes;Y;y,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>1.3e3 ± 5e2 nm, n = 9<br>Use the ± symbol in your answer.",1300 ± 800;1300±800;1.3e3 ± 8e2;1.3e3±8e2,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>2.8e3 ± 7e2 M, n = 3<br>Use the ± symbol in your answer.",3000 ± 13000;3000±13000;3e3 ± 1.3e4;3e3±1.3e4,short_answer
"Is the value -0e0 ms in the 99.9 % confidence interval for the following measurement?<br>180 ± 80 ms, n = 8",Yes;yes;Y;y,short_answer
"Does the following measurement agree with the known value of 0.092 V at the 50 % confidence level?<br>0.092 ± 0.003 V, n = 30",Yes;yes;Y;y,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.027 ± 0.002 W, n = 3<br>Use the ± symbol in your answer.",0.027 ± 0.005;0.027±0.005;2.7e-2 ± 5e-3;2.7e-2±5e-3,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.064 ± 0.013 L, n = 9<br>Use the ± symbol in your answer.",0.06 ± 0.02;0.06±0.02;6e-2 ± 2e-2;6e-2±2e-2,short_answer
"Is the value 5000 Torr in the 99.9 % confidence interval for the following measurement?<br>3.5e3 ± 6e2 Torr, n = 5",Yes;yes;Y;y,short_answer
"Is the value 0.038 s in the 99 % confidence interval for the following measurement?<br>0.031 ± 0.004 s, n = 8",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>1.6 ± 0.2 A, n = 3<br>Use the ± symbol in your answer.",1.60 ± 0.09;1.60±0.09;1.60e0 ± 9e-2;1.60e0±9e-2,short_answer
"Is the value 89.2 yr in the 99.9 % confidence interval for the following measurement?<br>88.6 ± 0.9 yr, n = 40",No;no;N;n,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>60 ± 20 ms, n = 5<br>Use the ± symbol in your answer.",60. ± 7;60.±7;6.0e1 ± 7e0;6.0e1±7e0,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>0.013 ± 0.005 mM, n = 30<br>Use the ± symbol in your answer.",0.0130 ± 0.0006;0.0130±0.0006;1.30e-2 ± 6e-4;1.30e-2±6e-4,short_answer
"Calculate the 99.9 % confidence interval for the following measurement.<br>170 ± 60 h, n = 20<br>Use the ± symbol in your answer.",170 ± 50;170±50;1.7e2 ± 5e1;1.7e2±5e1,short_answer
"Does the following measurement agree with the known value of 0.23 W at the 99 % confidence level?<br>0.19 ± 0.02 W, n = 4",Yes;yes;Y;y,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>1.4e3 ± 2e2 V, n = 4<br>Use the ± symbol in your answer.",1400 ± 600;1400±600;1.4e3 ± 6e2;1.4e3±6e2,short_answer
"Does the following measurement agree with the known value of 340 mM at the 50 % confidence level?<br>410 ± 140 mM, n = 3",No;no;N;n,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>0.037 ± 0.006 bar, n = 3<br>Use the ± symbol in your answer.",0.04 ± 0.03;0.04±0.03;4e-2 ± 3e-2;4e-2±3e-2,short_answer
"Is the value 34 m in the 90 % confidence interval for the following measurement?<br>29 ± 7 m, n = 6",Yes;yes;Y;y,short_answer
"Is the value 23 mol in the 95 % confidence interval for the following measurement?<br>22 ± 5 mol, n = 15",Yes;yes;Y;y,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>80 ± 20 yr, n = 4<br>Use the ± symbol in your answer.",80. ± 8;80.±8;8.0e1 ± 8e0;8.0e1±8e0,short_answer
"Calculate the 50 % confidence interval for the following measurement.<br>14 ± 4 Hz, n = 120<br>Use the ± symbol in your answer.",14.0 ± 0.2;14.0±0.2;1.40e1 ± 2e-1;1.40e1±2e-1,short_answer
"Calculate the 95 % confidence interval for the following measurement.<br>0.24 ± 0.02 mA, n = 60<br>Use the ± symbol in your answer.",0.240 ± 0.005;0.240±0.005;2.40e-1 ± 5e-3;2.40e-1±5e-3,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>5.9 ± 1.4 bar, n = 1<br>Use the ± symbol in your answer.",10 ± 90;10±90;1e1 ± 9e1;1e1±9e1,short_answer
"Calculate the 90 % confidence interval for the following measurement.<br>0.36 ± 0.05 M, n = 3<br>Use the ± symbol in your answer.",0.36 ± 0.08;0.36±0.08;3.6e-1 ± 8e-2;3.6e-1±8e-2,short_answer
"Calculate the 99 % confidence interval for the following measurement.<br>3.4 ± 0.7 m, n = 60<br>Use the ± symbol in your answer.",3.4 ± 0.2;3.4±0.2;3.4e0 ± 2e-1;3.4e0±2e-1,short_answer
